player_name,opponent,home,minutes,avg_points_last5,avg_rebounds_last5,avg_assists_last5,points,rebounds,assists,opp_avg_points_allowed,opp_avg_rebounds_allowed,opp_avg_assists_allowed
Precious Achiuwa,UTA,1,13.0,5.2,3.4,0.2,12.0,3.0,0.0,13.781609195402298,4.942528735632184,2.7471264367816093
Precious Achiuwa,WAS,0,19.0,7.2,3.8,0.2,5.0,4.0,0.0,14.329896907216495,5.402061855670103,3.2061855670103094
Precious Achiuwa,WAS,0,19.0,7.0,3.8,0.0,3.0,7.0,2.0,14.329896907216495,5.402061855670103,3.2061855670103094
Precious Achiuwa,ORL,0,21.0,5.6,4.8,0.4,6.0,6.0,1.0,13.755555555555556,5.0,2.688888888888889
Precious Achiuwa,SAS,1,20.0,5.8,5.0,0.6,5.0,10.0,1.0,12.597402597402597,5.142857142857143,3.4025974025974026
Precious Achiuwa,TOR,1,22.0,6.2,6.0,0.8,5.0,7.0,2.0,13.86046511627907,5.313953488372093,3.2906976744186047
Precious Achiuwa,NOP,0,12.0,4.8,6.8,1.2,2.0,7.0,1.0,13.10752688172043,5.21505376344086,3.118279569892473
Precious Achiuwa,MIN,0,28.0,4.2,7.4,1.4,13.0,10.0,2.0,12.438202247191011,4.191011235955056,2.4157303370786516
Precious Achiuwa,ORL,0,18.0,6.2,8.0,1.4,4.0,5.0,0.0,13.755555555555556,5.0,2.688888888888889
Precious Achiuwa,ATL,1,19.0,5.8,7.8,1.2,2.0,5.0,1.0,15.041666666666666,5.052083333333333,3.0520833333333335
Precious Achiuwa,TOR,0,16.0,5.2,6.8,1.2,7.0,6.0,0.0,13.86046511627907,5.313953488372093,3.2906976744186047
Precious Achiuwa,DET,1,28.0,5.6,6.6,0.8,6.0,10.0,4.0,13.333333333333334,4.777777777777778,3.0303030303030303
Precious Achiuwa,CHA,1,12.0,6.4,7.2,1.4,2.0,4.0,1.0,12.072289156626505,4.819277108433735,3.0843373493975905
Steven Adams,ATL,1,25.0,4.8,7.2,0.4,7.0,7.0,1.0,15.041666666666666,5.052083333333333,3.0520833333333335
Steven Adams,DEN,1,22.0,5.4,7.4,0.4,14.0,12.0,2.0,13.158536585365853,4.841463414634147,3.475609756097561
Steven Adams,MIA,0,20.0,7.8,8.2,0.6,4.0,8.0,1.0,13.307692307692308,5.461538461538462,3.0549450549450547
Steven Adams,ORL,0,23.0,7.0,7.4,0.8,3.0,6.0,0.0,13.755555555555556,5.0,2.688888888888889
Steven Adams,PHI,1,0.0,6.8,7.2,0.8,0.0,0.0,0.0,13.16304347826087,4.967391304347826,2.902173913043478
Steven Adams,CHI,1,22.0,5.6,6.6,0.8,4.0,9.0,3.0,14.773809523809524,5.166666666666667,3.3333333333333335
Steven Adams,PHX,1,11.0,5.0,7.0,1.2,1.0,4.0,1.0,13.171052631578947,4.7894736842105265,3.276315789473684
Steven Adams,ORL,1,23.0,2.4,5.4,1.0,11.0,17.0,1.0,13.755555555555556,5.0,2.688888888888889
Steven Adams,NOP,1,18.0,3.8,7.2,1.0,6.0,8.0,2.0,13.10752688172043,5.21505376344086,3.118279569892473
Steven Adams,NOP,0,19.0,4.4,7.6,1.4,3.0,8.0,6.0,13.10752688172043,5.21505376344086,3.118279569892473
Steven Adams,IND,0,15.0,5.0,9.2,2.6,3.0,3.0,1.0,14.05813953488372,5.186046511627907,3.2906976744186047
Steven Adams,SAC,1,8.0,4.8,8.0,2.2,2.0,2.0,1.0,13.395604395604396,4.142857142857143,3.197802197802198
Steven Adams,SAS,1,19.0,5.0,7.6,2.2,4.0,5.0,5.0,12.597402597402597,5.142857142857143,3.4025974025974026
Steven Adams,MIL,1,0.0,3.6,5.2,3.0,0.0,0.0,0.0,13.353535353535353,4.848484848484849,2.808080808080808
Steven Adams,MIN,1,5.0,2.4,3.6,2.6,0.0,0.0,0.0,12.438202247191011,4.191011235955056,2.4157303370786516
Steven Adams,GSW,1,6.0,1.8,2.0,1.4,0.0,3.0,0.0,13.617283950617283,5.098765432098766,2.7777777777777777
Steven Adams,PHX,1,10.0,1.2,2.0,1.2,5.0,6.0,0.0,13.171052631578947,4.7894736842105265,3.276315789473684
Steven Adams,DAL,0,22.0,1.8,2.8,1.0,2.0,12.0,1.0,13.263736263736265,5.0,2.769230769230769
Steven Adams,BKN,0,13.0,1.4,4.2,0.2,4.0,1.0,1.0,12.61111111111111,5.144444444444445,2.511111111111111
Steven Adams,NYK,0,26.0,2.2,4.4,0.4,8.0,13.0,1.0,11.5,4.583333333333333,2.2142857142857144
Steven Adams,BKN,1,25.0,3.8,7.0,0.6,11.0,7.0,0.0,12.61111111111111,5.144444444444445,2.511111111111111
Steven Adams,MEM,0,23.0,6.0,7.8,0.6,11.0,10.0,3.0,11.378947368421052,3.873684210526316,3.0842105263157893
Steven Adams,BOS,0,14.0,7.2,8.6,1.2,4.0,4.0,0.0,11.329896907216495,4.494845360824742,2.3195876288659796
Steven Adams,CLE,0,15.0,7.6,7.0,1.0,14.0,4.0,2.0,13.145833333333334,4.78125,2.96875
Steven Adams,CLE,1,19.0,9.6,7.6,1.2,3.0,11.0,2.0,13.145833333333334,4.78125,2.96875
Steven Adams,POR,0,17.0,8.6,7.2,1.4,2.0,9.0,2.0,12.975903614457831,4.795180722891566,2.7349397590361444
Steven Adams,SAC,0,14.0,6.8,7.6,1.8,5.0,5.0,2.0,13.395604395604396,4.142857142857143,3.197802197802198
Steven Adams,DEN,0,7.0,5.6,6.6,1.6,2.0,3.0,1.0,13.158536585365853,4.841463414634147,3.475609756097561
Steven Adams,MEM,1,13.0,5.2,6.4,1.8,2.0,7.0,1.0,11.378947368421052,3.873684210526316,3.0842105263157893
Steven Adams,MEM,0,12.0,2.8,7.0,1.6,0.0,9.0,0.0,11.378947368421052,3.873684210526316,3.0842105263157893
Steven Adams,WAS,0,11.0,2.2,6.6,1.2,0.0,6.0,0.0,14.329896907216495,5.402061855670103,3.2061855670103094
Steven Adams,LAL,1,17.0,1.8,6.0,0.8,8.0,9.0,1.0,12.316326530612244,4.520408163265306,2.5510204081632653
Steven Adams,BOS,1,7.0,2.4,6.8,0.6,6.0,4.0,1.0,11.329896907216495,4.494845360824742,2.3195876288659796
Steven Adams,DAL,1,7.0,3.2,7.0,0.6,4.0,4.0,0.0,13.263736263736265,5.0,2.769230769230769
Steven Adams,MIA,1,12.0,3.6,6.4,0.4,4.0,9.0,3.0,13.307692307692308,5.461538461538462,3.0549450549450547
Steven Adams,MIN,1,3.0,4.4,6.4,1.0,0.0,1.0,1.0,12.438202247191011,4.191011235955056,2.4157303370786516
Steven Adams,NOP,0,11.0,4.4,5.4,1.2,2.0,5.0,0.0,13.10752688172043,5.21505376344086,3.118279569892473
Steven Adams,CHA,0,12.0,3.2,4.6,1.0,2.0,8.0,3.0,12.072289156626505,4.819277108433735,3.0843373493975905
Steven Adams,NOP,1,10.0,2.4,5.4,1.4,2.0,4.0,1.0,13.10752688172043,5.21505376344086,3.118279569892473
Steven Adams,OKC,0,6.0,2.0,5.4,1.6,4.0,6.0,0.0,10.840425531914894,4.202127659574468,2.223404255319149
Steven Adams,LAC,0,10.0,2.0,4.8,1.0,4.0,4.0,0.0,11.64367816091954,4.425287356321839,2.7126436781609193
Steven Adams,GSW,0,18.0,2.8,5.4,0.8,6.0,6.0,3.0,13.617283950617283,5.098765432098766,2.7777777777777777
Steven Adams,SAC,0,11.0,3.6,5.6,1.4,1.0,6.0,0.0,13.395604395604396,4.142857142857143,3.197802197802198
Steven Adams,OKC,1,4.0,3.4,5.2,0.8,1.0,1.0,0.0,10.840425531914894,4.202127659574468,2.223404255319149
Steven Adams,PHI,0,7.0,3.2,4.6,0.6,2.0,4.0,0.0,13.16304347826087,4.967391304347826,2.902173913043478
Steven Adams,POR,1,15.0,2.8,4.2,0.6,1.0,1.0,3.0,12.975903614457831,4.795180722891566,2.7349397590361444
Steven Adams,MIL,0,5.0,2.2,3.6,1.2,2.0,2.0,0.0,13.353535353535353,4.848484848484849,2.808080808080808
Steven Adams,LAC,1,7.0,1.4,2.8,0.6,0.0,0.0,0.0,11.64367816091954,4.425287356321839,2.7126436781609193
Steven Adams,WAS,1,15.0,1.2,1.6,0.6,2.0,7.0,1.0,14.329896907216495,5.402061855670103,3.2061855670103094
Steven Adams,OKC,0,16.0,1.4,2.8,0.8,5.0,2.0,1.0,10.840425531914894,4.202127659574468,2.223404255319149
Steven Adams,NYK,1,14.0,2.0,2.4,1.0,4.0,5.0,3.0,11.5,4.583333333333333,2.2142857142857144
Steven Adams,DAL,0,10.0,2.6,3.2,1.0,0.0,1.0,3.0,13.263736263736265,5.0,2.769230769230769
Steven Adams,SAS,0,14.0,2.2,3.0,1.6,6.0,3.0,0.0,12.597402597402597,5.142857142857143,3.4025974025974026
Bam Adebayo,WAS,0,31.0,23.8,8.4,4.6,28.0,12.0,5.0,14.329896907216495,5.402061855670103,3.2061855670103094
Bam Adebayo,PHI,0,28.0,24.8,8.4,4.8,16.0,7.0,5.0,13.16304347826087,4.967391304347826,2.902173913043478
Bam Adebayo,ATL,1,38.0,24.4,8.6,5.2,12.0,10.0,4.0,15.041666666666666,5.052083333333333,3.0520833333333335
Bam Adebayo,GSW,1,34.0,20.6,8.2,5.0,27.0,8.0,1.0,13.617283950617283,5.098765432098766,2.7777777777777777
Bam Adebayo,CHA,1,32.0,20.8,8.4,4.2,11.0,4.0,2.0,12.072289156626505,4.819277108433735,3.0843373493975905
Bam Adebayo,HOU,1,38.0,18.8,8.2,3.4,16.0,6.0,6.0,12.158536585365853,4.414634146341464,2.475609756097561
Bam Adebayo,DET,1,37.0,16.4,7.0,3.6,30.0,9.0,8.0,13.333333333333334,4.777777777777778,3.0303030303030303
Bam Adebayo,NYK,0,34.0,19.2,7.4,4.2,12.0,7.0,4.0,11.5,4.583333333333333,2.2142857142857144
Bam Adebayo,MEM,0,30.0,19.2,6.8,4.2,18.0,6.0,0.0,11.378947368421052,3.873684210526316,3.0842105263157893
Bam Adebayo,BOS,1,33.0,17.4,6.4,4.0,9.0,9.0,2.0,11.329896907216495,4.494845360824742,2.3195876288659796
Bam Adebayo,LAC,1,35.0,17.0,7.4,4.0,6.0,7.0,7.0,11.64367816091954,4.425287356321839,2.7126436781609193
Bam Adebayo,CHA,1,38.0,15.0,7.6,4.2,23.0,14.0,8.0,12.072289156626505,4.819277108433735,3.0843373493975905
Bam Adebayo,CHI,1,38.0,13.6,8.6,4.2,22.0,6.0,2.0,14.773809523809524,5.166666666666667,3.3333333333333335
Bam Adebayo,MIN,1,43.0,15.6,8.4,3.8,29.0,13.0,4.0,12.438202247191011,4.191011235955056,2.4157303370786516
Bam Adebayo,CLE,0,38.0,17.8,9.8,4.6,34.0,12.0,5.0,13.145833333333334,4.78125,2.96875
Bam Adebayo,WAS,1,31.0,22.8,10.4,5.2,19.0,15.0,5.0,14.329896907216495,5.402061855670103,3.2061855670103094
Bam Adebayo,NYK,1,42.0,25.4,12.0,4.8,30.0,7.0,4.0,11.5,4.583333333333333,2.2142857142857144
Bam Adebayo,IND,1,31.0,26.8,10.6,4.0,18.0,7.0,7.0,14.05813953488372,5.186046511627907,3.2906976744186047
Bam Adebayo,ATL,1,35.0,26.0,10.8,5.0,20.0,9.0,3.0,15.041666666666666,5.052083333333333,3.0520833333333335
Bam Adebayo,ATL,0,37.0,24.2,10.0,4.8,14.0,5.0,1.0,15.041666666666666,5.052083333333333,3.0520833333333335
