feature,coefficient
opp_avg_rebounds_allowed,0.794262535715443
avg_rebounds_last5,0.7653910973328859
home,0.16672724230069583
opp_avg_points_allowed,-0.14401522467743638
minutes,0.13889984210878648
opp_avg_assists_allowed,0.13816042486536728
avg_points_last5,-0.08732931430710476
avg_assists_last5,-0.0661930448899287
