feature,coefficient
opp_avg_assists_allowed,0.9341871293742307
avg_assists_last5,0.6240662731736731
opp_avg_rebounds_allowed,-0.11987945548237167
home,0.09207872048050869
opp_avg_points_allowed,-0.08725919196995949
minutes,0.06842913988109792
avg_rebounds_last5,-0.06161934249606665
avg_points_last5,0.01653379500922392
